fish1,fish2,dist,angle,year,month,day,trial,frame,turb,dark,flow
2,6,0.5941851043443329,99.73867211982517,2020,07,28,29,2,N,N,2
2,7,0.4687601890711726,60.84988351489995,2020,07,28,29,2,N,N,2
3,4,1.1835980630173912,10.934916139492522,2020,07,28,29,2,N,N,2
3,5,1.9061291985522002,2.901841251768579,2020,07,28,29,2,N,N,2
3,6,0.8625426265381975,25.44647984418571,2020,07,28,29,2,N,N,2
3,7,1.7250649935569151,41.96889596078738,2020,07,28,29,2,N,N,2
4,5,0.5776919201823192,23.407156395587077,2020,07,28,29,2,N,N,2
4,6,0.5060398004547538,122.78021278849889,2020,07,28,29,2,N,N,2
4,7,0.6697556637195913,82.61056613704328,2020,07,28,29,2,N,N,2
5,6,0.9553756630556538,166.30445599350796,2020,07,28,29,2,N,N,2
5,7,1.1518944805444198,116.41958336730673,2020,07,28,29,2,N,N,2
