cond,distBin,angleBin,dist_v,angle_v,heading,coord,tbf,spd_diff,tb_off,angleBinSize,distBinSize
F0,2,3,2.739125653025325,116.19361482397397,351.2521622860206,0.8258692296758328,3.3319020555365895,0.7086318806659138,nan,30,1
F0,2,3,2.6718110202732,104.90685908719672,241.3217359382428,0.9918731289862556,3.595532162650938,-0.88611274960819,0.4727585123493845,30,1
F0,2,3,2.4033561833547785,97.19063139354552,192.4934370773958,0.7357514984144164,2.6293938303126496,-0.8773037352139259,0.4727585123493845,30,1
F0,2,3,2.1435124461805994,96.74905815411842,188.5056734410247,0.8599706312416744,0.5532588089112774,-0.6288546349767524,0.45030193672642865,30,1
F0,2,3,2.055211050403383,103.69954518412385,182.23851213788186,0.7713008530839176,3.5967065540810568,0.06729015735018747,0.2594210439313049,30,1
F0,2,3,2.0786017796260907,109.76008681791751,184.84862395411525,0.9208172432284537,2.071389211212218,-0.25824545120320697,0.25697058358507435,30,1
F0,1,4,1.9943018111955502,121.97771430744922,202.01751531712873,0.8655465837471501,3.0142308310591432,-0.28717536916418857,0.25010929461562875,30,1
F0,1,4,1.7124617462986174,133.93034397952584,214.39335432048503,0.92911103662441,2.8255453855122346,-1.3334115374417101,0.1944502625286451,30,1
F0,1,2,1.3508576136993906,79.60500701738272,181.4273792401858,0.6523689685548236,1.7330523386299042,-0.08532885727418563,nan,30,1
F0,1,2,1.3903246530530369,68.71538110043264,241.65702956817873,0.9377776032590421,2.484988287844311,0.804308712389939,0.37578568991931965,30,1
F0,1,1,1.662377805137598,50.95200279085225,288.3785420004482,0.8160375452166798,2.090360845728965,-0.28097117228186835,0.6811888853760935,30,1
F0,1,0,1.430124529312261,25.866929406413533,353.62524463763475,0.6030938816217496,5.159727380969383,-0.3535337244490437,0.6811888853760935,30,1
F0,1,0,1.2937360823802153,2.6163532589243914,16.710567445861816,0.7308871917206372,3.9856029386538183,-0.7526284359147082,0.6393720067174891,30,1
F0,1,1,1.2057736160858312,42.90367423551578,19.241971932450713,0.8536022302717319,2.6656012539510114,0.7767252278366777,0.28392853811935115,30,1
F0,1,2,1.5587145211127076,69.77545775622718,18.53071913817034,0.9259263608454396,2.960700605800515,0.5941656278602645,0.2918546829274522,30,1
F0,1,2,1.6830291276352467,87.73613530021487,33.36820665590706,0.7748141526182337,3.8629650820737544,0.30651617101575,0.3140478883901352,30,1
F0,1,3,1.7204873575247803,101.22605916745232,33.452738281544114,0.9468828628892392,3.4883817521851967,0.11448043060530425,0.3029174487513314,30,1
F0,1,3,1.5023345758990778,95.1227879168992,239.36807796889693,0.6969356536284217,2.7236799880761535,-0.0855740393228045,nan,30,1
F0,1,2,1.4222554483499181,84.75936971071638,226.07337735132114,0.8182943008120176,3.296669231808527,-0.22275665305555814,nan,30,1
F0,1,2,1.4336000031026106,68.4803048657729,227.3232864930628,0.831566446826306,3.6346551417780963,0.3061685669304484,0.3852444435586781,30,1
F0,1,2,1.5032829338730287,60.53595787302726,181.98360676964026,0.7612250752490064,2.2786114336199,-0.18090696378420132,0.3852444435586781,30,1
F0,1,2,1.3529551596037526,64.05541167549671,155.2092938621152,0.9205862053589837,2.3242926712058734,-0.6505826735309149,0.3655267439211375,30,1
F0,1,2,1.1921215072763474,79.02027280649037,135.56030275865672,0.7662840858663859,3.4267669222954185,0.07167679556869927,0.1979262970020427,30,1
F0,1,3,1.2948772248004177,100.1067319412063,116.20817155719921,0.966222545720981,2.659771902799432,0.013227351320043448,0.6939438803962966,30,1
F0,1,4,1.3781973259921971,126.49653641480592,90.17977054014624,0.6304645589860489,5.1286153842925755,0.6147311696269947,2.0827931139002076,30,1
F0,1,4,1.435188837514123,147.75524034331215,79.81034829307156,0.9954258921003314,3.2307028684868593,-0.10542992287834058,0.340337678790586,30,1
F0,1,3,1.1353972832015613,108.4007931619663,224.3326839736369,0.9895339580862048,2.0455410399832323,-0.7113685140265502,nan,30,1
F0,0,3,0.8602191107016953,100.49168892146474,219.03868898940715,0.8877306112143377,2.1435199733226313,-0.7269729658519509,nan,30,1
F0,0,2,0.564736819665916,87.26905154924322,279.33291667900176,0.7617282034959385,1.3126212711556722,-1.2949854943861516,nan,30,1
F0,0,1,0.3025262141740506,58.89436633241104,284.10141731229334,0.835867904634815,1.0039614271777724,-0.021856969649632803,0.04913263338883355,30,1
F0,0,2,0.4705942297311821,78.62957395229245,296.49849646244917,0.8185003227564549,1.744697850138656,1.0825884371801728,0.08297992378049138,30,1
F0,0,2,0.5722897961993408,81.10421817096301,352.15403902991704,0.8953692683809759,2.309609599195666,-0.3629144811858199,nan,30,1
F0,0,2,0.5889241072625195,73.4521764846578,343.91247136342946,0.9096785929883268,2.829417016131305,0.2808308635999873,nan,30,1
F0,0,2,0.7225496375570446,60.33846608375899,348.7496359238437,0.9284508359567775,3.883386448740962,0.5800548506266532,nan,30,1
F0,0,1,0.9428504873585697,57.994616791916485,354.6021466340236,0.9574415198405027,3.5794741924232087,0.6805138836381283,nan,30,1
F0,2,3,2.8877821729916313,116.94876146769752,6.043126888424511,0.9167309453964742,3.3702165073217767,1.5920193735321357,nan,30,1
F0,3,3,3.405716085250202,113.01872884308068,53.68999455517577,0.949382512953385,2.4715053549639183,1.4830900995804612,0.21254454984256826,30,1
