,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
5,2021,10,06,57,Y,N,0,individual4xindividual6,5,1305.3254736842105,521.3483684210526,1298.5375789473683,,0.035170439050995365,,,,,0.8201479009640417,,,,0.12303696458082414
6,2021,10,06,57,Y,N,0,individual4xindividual6,6,1262.249210526316,511.39910526315794,1326.3925263157894,334.7283157894737,-0.33234878647395666,-0.9153926915734933,0.973858046974443,-109.88394060322427,174.38115054753047,0.7047652158138045,0.6851704849700007,0.019594730843803823,-0.8852198158761534,0.27079304428944906
0,2021,10,06,57,Y,N,0,individual4xindividual7,0,1518.849,507.79784210526316,1324.429578947368,590.0097894736841,1.0073545132260704,0.42596863921461686,1.0937149523122036,23.121627583386754,115.85351569902369,0.9610022251878917,0.2891091730227244,0.6718930521651675,-0.26024304463074016,0.6748472656651621
1,2021,10,06,57,Y,N,0,individual4xindividual7,1,1541.3393157894736,552.5568421052633,1309.600052631579,592.7891578947368,1.200721570766294,0.20845759476411233,1.218682427590681,9.944981056834038,111.68052382943074,0.753273241365361,0.3531170958275729,0.40015614553778805,-0.15175088868720285,0.6748472656651621
2,2021,10,06,57,Y,N,0,individual4xindividual7,2,1494.4827894736843,571.1418421052631,1284.0030526315788,598.0279999999999,1.0905685846741207,0.13930651758930998,1.0994299176031983,8.020188306053546,51.932929293663165,2.2861169605574445,0.6967662754963101,1.5893506850611345,0.7965458375751192,0.6748472656651621
3,2021,10,06,57,Y,N,0,individual4xindividual7,3,1396.531894736842,544.6112105263159,1246.7796315789476,602.4512105263157,0.7759184619580036,0.2996891191709845,0.8317830412774443,21.214789516317833,7.660245653964515,1.0966504619824826,0.6786177743415763,0.41803268764090623,0.8684547281000142,0.6748472656651621
4,2021,10,06,57,Y,N,0,individual4xindividual7,4,1345.4922105263158,532.4973157894736,1208.0313684210525,591.7613157894737,0.7122323425143169,0.30706735751295333,0.7756063897193081,23.324480795739703,0.9915636603339846,0.7085094062816907,0.7710772233094627,-0.06256781702777214,0.9484675189657177,0.5951834931644762
5,2021,10,06,57,Y,N,0,individual4xindividual7,5,1305.3254736842105,521.3483684210526,1167.0073157894738,590.2817368421053,0.7166743932369782,0.3571677120261795,0.8007440043082475,26.45850246698711,8.087963550020547,0.8201479009640417,0.6049015475627192,0.2152463534013225,0.8433694100190023,0.5013787632093648
6,2021,10,06,57,Y,N,0,individual4xindividual7,6,1262.249210526316,511.39910526315794,1139.3704736842103,589.8356315789474,0.6366773929642761,0.4064068721025363,0.7553308205044691,32.5831232894841,7.811559626029541,0.7047652158138045,0.37522688798515025,0.32953832782865417,0.822024166377514,0.39882133855054547
0,2021,10,06,57,Y,N,0,individual4xindividual8,0,1518.849,507.79784210526316,,537.3819293600205,,0.1532854261904528,,,,0.9610022251878917,,,,0.47306168492483525
1,2021,10,06,57,Y,N,0,individual4xindividual8,1,1541.3393157894736,552.5568421052633,1112.1193684210527,582.610842105263,2.223937551131715,0.1557202072538859,2.229382653175745,4.13261038492173,73.6940744342707,0.753273241365361,1.512887135027503,-0.759613893662142,-0.06863419070648058,0.47306168492483525
