X,Y,Distance
-880.0,-450.0,65.8921678029929
-880.0,-400.0,64.44291185917102
-880.0,-350.0,63.13653634958301
-880.0,-300.0,61.98207626223708
-880.0,-250.0,60.988159142210144
-880.0,-200.0,60.16274225428518
-880.0,-150.0,59.512837083924786
-880.0,-100.0,59.04423953462537
-880.0,-50.0,58.76128733178745
-880.0,0.0,58.66666666666663
-880.0,50.0,58.76128733178745
-880.0,100.0,59.04423953462537
-880.0,150.0,59.512837083924786
-880.0,200.0,60.16274225428518
-880.0,250.0,60.988159142210144
-880.0,300.0,61.98207626223708
-880.0,350.0,63.13653634958301
-880.0,400.0,64.44291185917102
-880.0,450.0,65.8921678029929
-880.0,500.0,67.47509828735993
-830.0,-500.0,64.59790158270539
-830.0,-450.0,62.94265467691827
-830.0,-400.0,61.4238462560665
-830.0,-350.0,60.05182946607227
-830.0,-300.0,58.8368743032614
-830.0,-250.0,57.78888782071826
-830.0,-200.0,56.917093702644024
-830.0,-150.0,56.22968769055882
-830.0,-100.0,55.73349282273834
-830.0,-50.0,55.43364401596645
-830.0,0.0,55.33333333333337
-830.0,50.0,55.43364401596645
-830.0,100.0,55.73349282273834
-830.0,150.0,56.22968769055882
-830.0,200.0,56.917093702644024
-830.0,250.0,57.78888782071826
-830.0,300.0,58.8368743032614
-830.0,350.0,60.05182946607227
-830.0,400.0,61.4238462560665
-830.0,450.0,62.94265467691827
-830.0,500.0,64.59790158270539
-780.0,-500.0,61.766585716802496
-780.0,-450.0,60.03332407921454
-780.0,-400.0,58.43895200216301
-780.0,-350.0,56.99512649731066
-780.0,-300.0,55.71355310873648
-780.0,-250.0,54.6056570126006
-780.0,-200.0,53.682192371193054
-780.0,-150.0,52.952809179494906
-780.0,-100.0,52.42560867023333
-780.0,-50.0,52.10672807911769
-780.0,0.0,52.0
-780.0,50.0,52.10672807911769
-780.0,100.0,52.42560867023333
-780.0,150.0,52.952809179494906
-780.0,200.0,53.682192371193054
-780.0,250.0,54.6056570126006
-780.0,300.0,55.71355310873648
-780.0,350.0,56.99512649731066
-780.0,400.0,58.43895200216301
-780.0,450.0,60.03332407921454
-780.0,500.0,61.766585716802496
-730.0,-500.0,58.98775767526301
-730.0,-450.0,57.17031086538222
-730.0,-400.0,55.493743391084664
-730.0,-350.0,53.97118572802421
-730.0,-300.0,52.616009393001676
-730.0,-250.0,51.4414445969611
-730.0,-200.0,50.46010525377665
-730.0,-150.0,49.68344235703119
-730.0,-100.0,49.121165386103016
-730.0,-50.0,48.78068834647121
-730.0,0.0,48.66666666666663
-730.0,50.0,48.78068834647121
-730.0,100.0,49.121165386103016
-730.0,150.0,49.68344235703119
-730.0,200.0,50.46010525377665
-730.0,250.0,51.4414445969611
-730.0,300.0,52.616009393001676
-730.0,350.0,53.97118572802421
-730.0,400.0,55.493743391084664
-730.0,450.0,57.17031086538222
-730.0,500.0,58.98775767526301
-680.0,-500.0,56.269194256024534
-680.0,-450.0,54.36093368505654
-680.0,-400.0,52.59488779550943
-680.0,-350.0,50.98583681333041
-680.0,-300.0,49.54907780283216
-680.0,-250.0,48.299988497813246
-680.0,-200.0,47.25345372445164
-680.0,-150.0,46.42317428947653
-680.0,-100.0,45.82090740650559
-680.0,-50.0,45.45571715661547
-680.0,0.0,45.33333333333337
-680.0,50.0,45.45571715661547
-680.0,100.0,45.82090740650559
-680.0,150.0,46.42317428947653
-680.0,200.0,47.25345372445164
-680.0,250.0,48.299988497813246
-680.0,300.0,49.54907780283216
-680.0,350.0,50.98583681333041
-680.0,400.0,52.59488779550943
-680.0,450.0,54.36093368505654
-680.0,500.0,56.269194256024534
-630.0,-500.0,53.620062580261035
-630.0,-450.0,51.61395160225576
-630.0,-400.0,49.7504885514817
-630.0,-350.0,48.046273991272656
-630.0,-300.0,46.51881339845203
-630.0,-250.0,45.18603520754811
-630.0,-200.0,44.065607652428646
-630.0,-150.0,43.174066289845804
-630.0,-100.0,42.5258091568455
-630.0,-50.0,42.13206749153323
-630.0,0.0,42.0
-630.0,50.0,42.13206749153323
-630.0,100.0,42.5258091568455
-630.0,150.0,43.174066289845804
-630.0,200.0,44.065607652428646
