,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
9,2021,10,06,34,Y,N,2,individual2,9,,,,,,,17.955936352509177,
10,2021,10,06,34,Y,N,2,individual2,10,,,,,,,30.0,
11,2021,10,06,34,Y,N,2,individual2,11,,,,,,,30.0,
12,2021,10,06,34,Y,N,2,individual2,12,,,,,,,30.0,
13,2021,10,06,34,Y,N,2,individual2,13,,,,,,,30.0,
14,2021,10,06,34,Y,N,2,individual2,14,0.3624724742141745,0.19572757460218693,-0.2722636938184142,-177.51807511603565,127.22159069286793,2.279123167269777,30.0,0.7211123183388265
0,2021,10,06,34,Y,N,2,individual3,0,,,,,,,1.3636363636363635,
1,2021,10,06,34,Y,N,2,individual3,1,,,,,,,1.3636363636363635,
2,2021,10,06,34,Y,N,2,individual3,2,0.2867481330612982,0.14318937671478144,-0.2875025182484019,169.47145985705416,114.78163325500563,1.954744460760754,3.1674641148325358,0.646057169154064
3,2021,10,06,34,Y,N,2,individual3,3,0.28597860812975157,0.1462472788505036,-0.2733565369613555,175.96642111744973,98.6624783231759,2.4942287671825105,1.7304236200256742,0.6503220302424183
4,2021,10,06,34,Y,N,2,individual3,4,,,,,,,1.4634146341463417,
5,2021,10,06,34,Y,N,2,individual3,5,,,,,,,3.753530166880616,
6,2021,10,06,34,Y,N,2,individual3,6,0.246088551715603,0.15870844205644002,-0.15717823324762306,-178.8570402978257,81.52394347936584,3.17306778439128,3.425837320574163,0.5149545655312927
7,2021,10,06,34,Y,N,2,individual3,7,0.23081228927162345,0.16023129739369035,-0.12132298132346479,-178.85463273999457,86.10169751204121,2.9157516227797418,1.8181818181818183,
8,2021,10,06,34,Y,N,2,individual3,8,0.21823680614106197,0.16286313721529233,-0.09012089997072242,178.2416480350217,87.85248328897245,2.850661378298439,2.966507177033493,0.4310058010990345
9,2021,10,06,34,Y,N,2,individual3,9,0.20405177949583597,0.16747589100171498,-0.05198818905213083,177.29279664017463,91.69253138214972,3.022724847716029,3.8157894736842106,0.38251530443847104
10,2021,10,06,34,Y,N,2,individual3,10,0.1923379187244351,0.17126000642508754,-0.020504699510887767,179.12181893960073,91.07285362074664,2.535959709293781,7.439271255060729,0.34514788147445613
11,2021,10,06,34,Y,N,2,individual3,11,0.18799038161523726,0.17274020210448907,-0.009686735877712249,179.22171660552243,92.19111718474656,2.147124614033554,4.205465587044535,0.33251917044714174
12,2021,10,06,34,Y,N,2,individual3,12,0.18829393827679872,0.1730103089006866,-0.007940360988860928,-179.42668300913746,92.4824200598394,2.1094808931871754,3.3760387811634347,0.3368514122021531
13,2021,10,06,34,Y,N,2,individual3,13,0.18344639591920595,0.1735199080930446,0.013545456852383078,-175.69172508143205,96.73350905343064,3.087853667191972,3.2686980609418286,0.3200757819783648
