,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
7,2022,09,13,30,N,Y,0,individual1xindividual3,7,-2.7643422416143992,-1.3426255794927733,3.0731468359780707,-154.04349908974564,15.174379349957341,0.7309193415298781,2.1674320248021046,-1.4365126832722261,0.8962659354432124,0.9310187684747693
0,2022,09,13,30,N,Y,0,individual4xindividual1,0,0.6265014998636488,-0.43419443686937553,0.7622525423635631,-35.72350285077878,154.12657535516232,0.9620348725401078,0.8170962071627,0.14493866537740788,,0.6696773980839242
1,2022,09,13,30,N,Y,0,individual4xindividual1,1,1.1390687210253614,-0.5157875647668396,1.250405679444259,-24.550331717675277,166.87702038884808,0.8195866603360924,0.7755370958092324,0.044049564526860166,-0.8027983003903414,0.6061450382990153
2,2022,09,13,30,N,Y,0,individual4xindividual1,2,1.616009493591492,-0.5860850831742569,1.7190062268930866,-20.015468689654792,169.92383635742195,0.9416950239875974,0.6776225331357915,0.2640724908518058,-0.8464165295942835,0.6066445344803568
3,2022,09,13,30,N,Y,0,individual4xindividual1,3,,,,,,,0.6725277787961256,,,0.6070940810435641
4,2022,09,13,30,N,Y,0,individual4xindividual1,4,,,,,,,0.9783528398812992,,,0.6070940810435641
5,2022,09,13,30,N,Y,0,individual4xindividual1,5,,,,,,,0.9482347301144902,,,0.6070940810435641
0,2022,09,13,30,N,Y,0,individual5xindividual1,0,1.5647947957458412,2.7780365421325337,3.1884274779610333,60.66348031130911,83.11503564457661,1.1100920477191967,0.8170962071627,0.2929958405564967,,0.7290902284213829
1,2022,09,13,30,N,Y,0,individual5xindividual1,1,1.9462972457049361,2.688272975184074,3.318867963288635,54.09949400820812,90.78924543124911,0.2873608004559555,0.7755370958092324,-0.4881762953532767,,0.7290902284213829
2,2022,09,13,30,N,Y,0,individual5xindividual1,2,2.091213653667848,2.6183073846741203,3.3509264548667526,51.39400828835163,68.91835338074205,1.0676244654643334,0.6776225331357915,0.390001932328542,0.45004530145312605,0.7442755420979573
3,2022,09,13,30,N,Y,0,individual5xindividual1,3,2.065209435505863,2.5611472593400597,3.290070712998057,51.11910085643211,40.85109112048845,0.24085195182647565,0.6725277787961256,-0.43167582696964996,,0.873350708348839
4,2022,09,13,30,N,Y,0,individual5xindividual1,4,2.323372511589856,2.3739310062721573,3.3216875605859877,45.69024565736668,51.526560728917396,1.1881367890683112,0.9783528398812992,0.20978394918701201,-0.48064597760612465,0.873350708348839
5,2022,09,13,30,N,Y,0,individual5xindividual1,5,2.865188164712299,2.179365148622852,3.599852173387032,37.28053082220107,87.33176641248244,0.5513694295364971,0.9482347301144902,-0.39686530057799313,,0.873350708348839
0,2022,09,13,30,N,Y,0,individual6xindividual1,0,1.593833763294246,-0.4198420410689937,1.6482030835020536,-14.747529826102825,14.600351914278063,0.4523770633385061,0.8170962071627,-0.36471914382419385,,0.9829752790861881
1,2022,09,13,30,N,Y,0,individual6xindividual1,1,1.7227755658576493,-0.39775211344423245,1.7680956970892434,-13.014523709859693,11.090488357565182,0.7347229649538262,0.7755370958092324,-0.04081413085540625,0.7428166141373519,0.9829752790861881
