,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
4,2021,07,07,27,4,N,Y,2,1298.991111737782,401.53396954219915,1.4320482192895942,0.7536011105648638,0.5788680712386954,3.204415501211544,3.0161700212633997,1.2487659801316617,6.526983610459861
5,2021,07,07,27,5,N,Y,2,1281.3659677293233,409.8191563629699,1.407122548930297,0.7311761171559968,0.7404854363343425,2.5766214616449523,2.839710753905196,1.1808322803434907,6.770254703214214
6,2021,07,07,27,6,N,Y,2,1264.6982468671679,423.93545989974933,1.5691878108921606,0.7555591922314235,0.6288764688014262,3.765351228948157,3.2793885619865044,1.8714756523655478,6.217185491383026
7,2021,07,07,27,7,N,Y,2,1237.8772795103382,417.42485542625315,1.6388095268582987,0.8147886827517317,0.7977720639884941,4.122607018771529,3.0462786204055674,1.5372080348831123,7.045161808984819
8,2021,07,07,27,8,N,Y,2,1204.8540626428571,431.64109485751874,1.6743709953500927,0.836250215825109,0.7910585549218327,10.181872810045988,2.4033518482816065,2.0329481118826993,6.701948528601283
9,2021,07,07,27,9,N,Y,2,1188.672670917293,447.7135000593985,1.5932732327539547,0.7039925649802484,0.8182159475714099,4.0179101232353895,2.743316048093543,1.6212475235669057,5.661436276626996
10,2021,07,07,27,10,N,Y,2,1161.0562370413534,463.55956559464283,1.5621024980509435,0.6576951046393126,0.8248906460737606,3.393150921400809,3.0057350859306515,1.4715985345353608,4.950593079930384
11,2021,07,07,27,11,N,Y,2,1127.773937969925,481.86751691729324,1.5606576094276763,0.6255892571831969,0.8778065993680002,3.1175218078682776,2.9024980857517457,1.1272102457888138,5.372370980065167
12,2021,07,07,27,12,N,Y,2,1084.6998045911655,505.9945893723684,1.6396560237050555,0.694843530557122,0.8188446246366848,3.964573301745194,2.780074660490554,1.2038311649965678,6.7229297436331565
13,2021,07,07,27,13,N,Y,2,1061.8942657954265,525.9526289379698,1.6745700373059533,0.8450987074168502,0.8550124011936697,7.691193117134772,3.306878796700048,1.196388865579452,8.120967177936967
14,2021,07,07,27,14,N,Y,2,1015.0529605263157,540.4977763157893,1.722252689371888,0.9544781676108327,0.9246789747413932,2.7599108324735355,3.540919647420465,1.0862659248034163,9.247436423349408
15,2021,07,07,27,15,N,Y,2,981.9313817030074,533.3455278406014,1.8205197828051003,0.9638807475924415,0.8963507730304797,4.383374031398674,3.83755261417143,1.4499129066477312,9.695028759279888
0,2021,07,07,06,0,N,Y,2,1177.2531209607143,317.05988399642854,1.9134728137225232,0.7120849752674964,0.38160352075611575,4.568767166910048,3.9417970809418175,1.191216399414766,6.457660489203781
