,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups
0,2021,10,06,38,0,Y,N,0,0.2088161004795468,0.1692448712546567,0.8821822825716986,0.5217246707356458,0.14716803632866016,0.7319983443336873,5.5434809710831745,0.6954155961918954,2.598639882307368,1.0
1,2021,10,06,38,1,Y,N,0,0.21319571659049963,0.16775172547140607,0.9405220772593714,0.5141339083605659,0.21086299560315766,1.0716760001190555,2.0788143989830936,0.6717896675172724,2.6406595093383234,1.0
2,2021,10,06,38,2,Y,N,0,0.21870730226482957,0.16333102193598348,0.9459097919717753,0.5127455019951173,0.3391030652595114,0.2840532233470907,2.432537435381525,0.7417980548383148,2.7116521599218077,1.0
3,2021,10,06,38,3,Y,N,0,0.2257303444722058,0.1613022617166952,0.9242726388740885,0.521438501846272,0.3070343712439295,0.3497442493877828,2.3844084048102925,0.7738420521658923,2.7419170801448622,1.0
4,2021,10,06,38,4,Y,N,0,0.23315323462586657,0.15908688713854593,0.9503885858500225,0.5389291144474767,0.2995536995602062,0.29892142829485,1.6858304706540717,0.7229457931942073,3.0271044566198535,1.0
5,2021,10,06,38,5,Y,N,0,0.23994994596014899,0.1572482498442038,1.0010904431137224,0.5419940773655545,0.2870774827580247,0.28879962736044545,1.5618175972362054,0.6901686059785235,3.2729173492335852,1.0
6,2021,10,06,38,6,Y,N,0,0.24700888107461139,0.15507514520508903,1.0608575761835992,0.5382495353422976,0.26648210169051423,0.3189182869356441,1.680167114828063,0.691650540289113,3.4087318587097086,1.0
7,2021,10,06,38,7,Y,N,0,0.25475326159068806,0.15283299528185076,1.0851096291695426,0.555224738036282,0.24521455367699985,2.7342430500842068,1.797343734999087,0.8284832148362038,3.3319982118102245,1.0
8,2021,10,06,38,8,Y,N,0,0.25249479807100583,0.1467243201163947,1.0905060911056266,0.5565189385116953,0.19478065299634567,0.1798330334471811,1.7125729942178012,0.7285588400311315,3.3875450892879506,1.0
9,2021,10,06,38,9,Y,N,0,0.26144097975225045,0.14650423590154107,1.0971282835612937,0.5418429336128259,0.2163826918917712,1.0011530669000217,2.0249576702710885,0.7617156882017562,2.734162942377481,1.0
10,2021,10,06,38,10,Y,N,0,0.25876492313332483,0.14120937348789894,1.1015183162149509,0.5049011362117906,0.17618163121268451,0.7828954914182575,2.071617936535507,0.6539054522452907,2.1310835444863927,1.0
11,2021,10,06,38,11,Y,N,0,0.26584396410758365,0.13761571062487857,1.0921131462897566,0.5229650984285752,0.19536310779939522,0.9226042783708875,2.2973816291093114,0.6646321082761297,1.6636946239651154,1.0
12,2021,10,06,38,12,Y,N,0,0.2763268578669836,0.1366557235129631,1.087400170521768,0.5322569159188028,0.2338365460058454,0.4073987891272377,1.8769480568307078,0.5822523120642187,1.6533415542168726,1.0
13,2021,10,06,38,13,Y,N,0,0.2870339125707261,0.1370603513619515,1.1022319287657347,0.5220214686403921,0.26606521708995534,0.43990224853969195,2.092038200005321,0.5376636182075172,1.7024449523531948,1.0
14,2021,10,06,38,14,Y,N,0,0.2982367155697005,0.13865107827936055,1.1424523371043913,0.4894321630894635,0.34661533087550866,0.5109007507324073,2.278132923149515,0.5440842123172324,1.7492999300096064,1.0
0,2021,03,25,22,0,N,N,0,0.25173402713929854,0.18776920603076042,1.4102354238084456,0.7364342907557551,0.1904488679195131,3.372373404958515,4.615808464206657,0.8352799472804026,4.822951521346423,1.0
1,2021,03,25,22,1,N,N,0,0.2698401137250869,0.1711160320478782,1.3509769350226444,0.49211469042316086,0.1922201678337647,6.093749750480085,2.264440988406887,0.9219365193899339,3.3070462958545446,1.0
2,2021,03,25,22,2,N,N,0,0.27256838679857465,0.17388615959528034,1.6638518557314212,0.4162276862357274,0.22591839622231122,5.811787945547645,2.1376035250478114,1.0579402470012298,3.2998687219286458,1.0
3,2021,03,25,22,3,N,N,0,0.26441771906689326,0.1876523621432269,2.1598867105828785,0.4572616570202988,0.16900767455947324,8.492949182025365,2.234192745191192,1.0057003938482194,4.628758085329528,2.0
4,2021,03,25,22,4,N,N,0,0.22484391577335525,0.21723127875901055,3.420502657899403,1.0968377657824184,0.25670143540676077,5.860068183414292,2.590650703917133,1.60856155045853,9.557883434062214,3.0
5,2021,03,25,22,5,N,N,0,0.2290189612350407,0.23330571648160936,3.2729570019933756,1.7407491508131485,0.4019759037644494,7.830286365001134,1.9266146322920281,1.8836364306058737,14.275151615091392,2.0
6,2021,03,25,22,6,N,N,0,0.28505109103369913,0.2113678403123851,1.8167260485919539,1.0398181056176055,0.3486272703650912,2.8475243236087406,2.520715291723157,1.3683981703834995,11.367555591221612,2.0
7,2021,03,25,22,7,N,N,0,0.3013280294819957,0.18912905104411315,1.1885204066450388,0.672590731352867,0.2537800621514308,10.598635859072566,1.973540039548969,1.0266977459266564,3.657796022174716,1.0
8,2021,03,25,22,8,N,N,0,0.2907815607005575,0.192455831572102,1.1515025202420897,1.1799273031182345,0.2916180724291144,2.421197597244369,2.40110284901165,1.0909392533413609,7.478532681872904,2.0
9,2021,03,25,22,9,N,N,0,0.2987362392164503,0.18222525429169947,1.121325675230742,0.9821735467741137,0.2468271537659425,0.7613393663618541,1.744007682718572,1.1087120097861973,6.661657048315462,2.0
10,2021,03,25,22,10,N,N,0,0.30249220203465643,0.17019512947170964,1.1801968415208186,0.7745654277439113,0.2548099161044424,0.37397952989215544,1.5857919860754164,0.8989824271851128,5.227933372557288,1.0
11,2021,03,25,22,11,N,N,0,0.29481457040124626,0.16598949733595394,1.3390776874872798,0.706340872290783,0.24237989971478824,2.865419532558588,2.290150590246533,0.8239943769154467,4.665017754247894,1.0
12,2021,03,25,22,12,N,N,0,0.27959577745626724,0.1664493742013701,1.5626270930994466,0.6932370291671391,0.3545163561521322,3.177057520652473,2.6542315380024095,0.8743802604031858,4.175673697270933,1.0
13,2021,03,25,22,13,N,N,0,0.26317248639445107,0.1723276119794532,1.8123755377988864,0.6762519994912242,0.35411541682348785,2.384025961368244,2.4960518526344764,0.8127742326243412,5.255589562430117,2.0
14,2021,03,25,22,14,N,N,0,0.2265804314282593,0.18514921874570003,2.428091714495225,0.8070689232494273,0.16271920600301773,3.6166985848783026,1.6441315184318561,1.2918197134585137,10.511279110190292,3.0
15,2021,03,25,22,15,N,N,0,0.22473971592299963,0.20476983665568288,2.812331593367524,1.1824806613538543,0.11974747433052235,1.7508765781262443,1.8111947231045524,1.6433354556526092,16.709136862641664,3.0
0,2021,08,03,17,0,Y,N,2,0.0972154626951756,0.13342096044257618,0.9327324484765995,0.5120525096711673,0.8388887769931198,2.4108636238372885,7.062395881133139,0.6525571125932726,2.674770070399546,1.0
1,2021,08,03,17,1,Y,N,2,0.0851716498540639,0.1338645081846156,0.9097175832230141,0.44698905482709006,0.7722963207169753,3.0852302458195617,4.403175750272876,0.5256437040099896,2.202917160220149,1.0
2,2021,08,03,17,2,Y,N,2,0.061351482267814283,0.13752714477908087,0.8466744721125742,0.412543523538082,0.7154842997448901,3.107649769252904,4.241407371989764,0.4586886656350828,1.6748042520388968,1.0
3,2021,08,03,17,3,Y,N,2,0.07561550902133178,0.12705296812093242,0.9317507721792265,0.3652004730518146,0.5775736943396967,3.9631758498555016,2.7520296216744087,0.6465171791258865,1.6566549202098393,1.0
4,2021,08,03,17,4,Y,N,2,0.06555337509880382,0.12847916320382152,0.9463362195208499,0.45152107314397627,0.5648822279036212,6.8326008086915255,2.417128679317889,0.6422034196015888,2.143799384348348,1.0
5,2021,08,03,17,5,Y,N,2,0.07068489782504914,0.12137239621303629,0.8976586484735156,0.47851255102685136,0.5334100142182446,3.592746645698225,3.376183505052965,0.6462126736709698,2.1166682839029956,1.0
6,2021,08,03,17,6,Y,N,2,0.06136712050691517,0.1291515277792578,1.0263378510577001,0.8109414833330861,0.49359573898583164,2.6537706863448207,2.8857691911021104,0.7194898418161718,3.828312011798903,1.0
7,2021,08,03,17,7,Y,N,2,0.06385895823428368,0.13070680209917618,1.1219211413774075,0.8965741553869965,0.6263603872068954,3.2014292841403624,3.1602429390920306,0.7726473907461727,4.748018038017345,2.0
8,2021,08,03,17,8,Y,N,2,0.07567261321951184,0.13055681433738908,1.115754466291824,0.9585944727190655,0.3768739614441439,2.7871735316557262,2.114901005416017,0.7652634140330267,4.6860344232608035,1.0
9,2021,08,03,17,9,Y,N,2,0.08496820810853827,0.13504947888719374,1.0251163818038365,0.9940579204377746,0.29847694030550775,3.866790471619162,1.905446839968475,0.8643674259056242,4.549533327547559,1.0
10,2021,08,03,17,10,Y,N,2,0.08848909371612897,0.13784315230817604,0.9243148035853622,1.0150878576143152,0.3989701009675293,3.062530875129034,1.7634400420162437,0.7606765804168106,4.812895832587024,1.0
11,2021,08,03,17,11,Y,N,2,0.1129994048370795,0.15369649953467204,0.8486367984104735,1.048954039480447,0.2905105305055514,6.806177482026262,1.6246572751293813,0.8399488726474033,4.4670147828578415,1.0
12,2021,08,03,17,12,Y,N,2,0.12040147575395298,0.18051073198670822,0.9129810062548414,0.897717597669639,0.2334945468959615,6.149499718063942,3.0226133821449572,0.9030510772840625,4.0397609002241035,2.0
13,2021,08,03,17,13,Y,N,2,0.14490339603248134,0.16253656801045305,0.9587419341057322,1.0686784727493233,0.09945377273328779,3.583993802891844,2.1322018466695813,1.0820203522426919,5.616312509170191,1.0
14,2021,08,03,17,14,Y,N,2,0.14934437735572598,0.14681207312352298,1.1847605177068612,0.926301739979144,0.15928250553580328,4.0793715617023505,2.9620006590228196,1.0892654632692316,6.120972316117481,1.0
15,2021,08,03,17,15,Y,N,2,0.15209507892309995,0.14436350822531746,1.2615439884228703,0.7137140819599854,0.3801635837670596,4.1776707863274245,2.7053381184026035,0.9289169077342322,4.722476537849168,1.0
16,2021,08,03,17,16,Y,N,2,0.1621601943927381,0.13946215312519908,1.3423429949492742,0.5254373590865434,0.4099084259995065,7.123161105024174,2.2300208797825234,0.7288028088072712,3.1509755547998837,1.0
17,2021,08,03,17,17,Y,N,2,0.17287330938682527,0.14607672279926293,1.279259439576623,0.5544694043181378,0.49796311278222116,8.094590428963402,3.02019361387718,0.7189563981622173,3.5784952602039457,1.0
18,2021,08,03,17,18,Y,N,2,0.1817727701503878,0.14949734734210932,1.3512166020160779,0.5919916611538089,0.648327134182436,5.009754461705896,3.6961851482280843,0.7289899004420144,4.081291111097099,1.0
