"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Frame","Fish","X","Y","BL_X","BL_Y"
"75",2020,7,28,10,"Still Water","No Ablation","Light",9,"3",818.9196601,685.8837633,4.24310704715026,3.55380188238342
"76",2020,7,28,10,"Still Water","No Ablation","Light",9,"4",1519.524945,889.8268311,7.87318624352332,4.61050171554404
"77",2020,7,28,10,"Still Water","No Ablation","Light",9,"5",988.4922461,279.0851097,5.12172148238342,1.44603683782383
"78",2020,7,28,10,"Still Water","No Ablation","Light",9,"6",1300.143954,796.5841338,6.73649717098445,4.12737893160622
"79",2020,7,28,10,"Still Water","No Ablation","Light",9,"7",1167.677388,796.6092186,6.05014190673575,4.12750890466321
"80",2020,7,28,10,"Still Water","No Ablation","Light",9,"8",1064.762705,575.8707421,5.51690520725389,2.98378622849741
"81",2020,7,28,10,"Still Water","No Ablation","Light",10,"1",1324.941211,428.007456,6.86498036787565,2.21765521243523
"82",2020,7,28,10,"Still Water","No Ablation","Light",10,"2",1162.065021,622.137296,6.02106228497409,3.22350930569948
"83",2020,7,28,10,"Still Water","No Ablation","Light",10,"3",824.8209056,681.876417,4.27368344870466,3.53303843005181
"84",2020,7,28,10,"Still Water","No Ablation","Light",10,"4",1523.73953,890.2585981,7.89502347150259,4.61273885025907
"85",2020,7,28,10,"Still Water","No Ablation","Light",10,"5",985.1965218,279.9795813,5.10464519067358,1.45067140569948
"86",2020,7,28,10,"Still Water","No Ablation","Light",10,"6",1296.258316,798.0956795,6.71636433160622,4.1352107746114
"87",2020,7,28,10,"Still Water","No Ablation","Light",10,"7",1161.920363,795.2715216,6.02031276165803,4.12057783212435
"88",2020,7,28,10,"Still Water","No Ablation","Light",10,"8",1062.142036,580.5045306,5.50332661139896,3.00779549533679
"89",2020,7,28,10,"Still Water","No Ablation","Light",11,"1",1320.477025,428.4414922,6.84184987046632,2.21990410466321
"90",2020,7,28,10,"Still Water","No Ablation","Light",11,"2",1168.048138,620.6993635,6.05206289119171,3.21605887823834
"91",2020,7,28,10,"Still Water","No Ablation","Light",11,"3",829.6328031,675.6569492,4.29861556010363,3.50081320829016
"92",2020,7,28,10,"Still Water","No Ablation","Light",11,"4",1528.180961,891.223586,7.91803606735751,4.61773878756477
"93",2020,7,28,10,"Still Water","No Ablation","Light",11,"5",981.9887023,281.0908301,5.0880243642487,1.45642917150259
"94",2020,7,28,10,"Still Water","No Ablation","Light",11,"6",1292.56271,799.0873979,6.69721611398964,4.1403492119171
"95",2020,7,28,10,"Still Water","No Ablation","Light",11,"7",1155.953954,793.5371358,5.9893987253886,4.11159137720207
"96",2020,7,28,10,"Still Water","No Ablation","Light",11,"8",1062.142036,585.643065,5.50332661139896,3.03442002590674
"97",2020,7,28,10,"Still Water","No Ablation","Light",12,"1",1316.366122,429.0294578,6.82054985492228,2.22295055854922
"98",2020,7,28,10,"Still Water","No Ablation","Light",12,"2",1174.128977,620.228042,6.08356982901554,3.21361679792746
"99",2020,7,28,10,"Still Water","No Ablation","Light",12,"3",833.7419462,668.5598466,4.31990645699482,3.46404065595855
"100",2020,7,28,10,"Still Water","No Ablation","Light",12,"4",1532.370301,893.7339581,7.93974249222798,4.63074589689119
"101",2020,7,28,10,"Still Water","No Ablation","Light",12,"5",978.8587298,282.1040197,5.07180689015544,1.46167885854922
"102",2020,7,28,10,"Still Water","No Ablation","Light",12,"6",1288.908788,799.6259363,6.67828387564767,4.14313956632124
"103",2020,7,28,10,"Still Water","No Ablation","Light",12,"7",1149.846532,790.6261796,5.95775405181347,4.09650870259067
"104",2020,7,28,10,"Still Water","No Ablation","Light",12,"8",1062.142036,591.4839687,5.50332661139896,3.06468377564767
"105",2020,7,28,10,"Still Water","No Ablation","Light",13,"1",1312.451009,430.6804798,6.80026429533679,2.23150507668394
"106",2020,7,28,10,"Still Water","No Ablation","Light",13,"2",1180.28261,620.228042,6.11545393782383,3.21361679792746
"107",2020,7,28,10,"Still Water","No Ablation","Light",13,"3",837.2839563,662.7307517,4.33825884093264,3.43383809170984
"108",2020,7,28,10,"Still Water","No Ablation","Light",13,"4",1535.947953,893.7339581,7.9582795492228,4.63074589689119
"109",2020,7,28,10,"Still Water","No Ablation","Light",13,"5",975.7965464,282.986185,5.05594065492228,1.46624966321244
"110",2020,7,28,10,"Still Water","No Ablation","Light",13,"6",1285.12393,800.0184839,6.65867321243523,4.14517349170984
"111",2020,7,28,10,"Still Water","No Ablation","Light",13,"7",1143.666466,788.8208336,5.92573298445596,4.08715457823834
"112",2020,7,28,10,"Still Water","No Ablation","Light",13,"8",1070.046336,597.953938,5.54428153367876,3.09820693264249
"113",2020,7,28,10,"Still Water","No Ablation","Light",14,"1",1308.574191,433.9283617,6.78017715544041,2.24833348031088
"114",2020,7,28,10,"Still Water","No Ablation","Light",14,"2",1186.484112,617.6851087,6.14758607253886,3.20044097772021
"115",2020,7,28,10,"Still Water","No Ablation","Light",14,"3",840.3944546,659.1455137,4.35437541243523,3.41526172901554
"116",2020,7,28,10,"Still Water","No Ablation","Light",14,"4",1539.441933,896.6397568,7.97638307253886,4.64580184870466
"117",2020,7,28,10,"Still Water","No Ablation","Light",14,"5",972.7920944,284.8318475,5.04037354611399,1.47581268134715
"118",2020,7,28,10,"Still Water","No Ablation","Light",14,"6",1281.269504,800.5722299,6.63870209326425,4.14804264196891
