,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Sync
8,2022,06,10,08,N,N,0,individual1xindividual5,8,-3.5043489088438693,-2.207445821353776,4.141651642657488,-147.59579127138667,158.2172050994116,2.8924785863755207,1.5577599102815356,1.3347186760939853,0.396730386120391
9,2022,06,10,08,N,N,0,individual1xindividual5,9,-4.844697900776776,-2.397177407811115,5.405326750004195,-153.59554599379192,158.54067103058392,2.448794397298625,2.034528455052379,0.41426594224624597,0.8501543955630485
10,2022,06,10,08,N,N,0,individual1xindividual5,10,-6.321652626971767,-2.36457839270915,6.749409078679854,-159.40161835330346,171.80230997272352,2.1423642814768473,2.9782959579605173,-0.8359316764836702,0.9856108036733972
0,2022,06,10,08,N,N,0,individual6xindividual1,0,-1.4591562121838355,4.447830200195313,4.681060813675054,108.15492289860147,98.43376038827606,1.1026722450229094,1.5133097620587486,-0.41063751703583923,0.09316605123950347
1,2022,06,10,08,N,N,0,individual6xindividual1,1,-1.4207184445412633,4.381436308690954,4.606020519469617,107.98622706745728,144.73860735392967,1.6297310765659054,1.7914535262882798,-0.16172244972237423,0.30616245189450786
2,2022,06,10,08,N,N,0,individual6xindividual1,2,-1.3368866657541076,4.012517837012598,4.229369379637512,108.37085058525008,73.49773836862315,1.347871693548478,1.149622512476004,0.19824918107247375,0.2200522326639635
3,2022,06,10,08,N,N,0,individual6xindividual1,3,-1.022750417575675,3.8581051416867815,3.991364891983843,104.84543157311255,87.64421191060755,1.3100915506936892,1.6306397720618875,-0.3205482213681985,0.2200522326639635
4,2022,06,10,08,N,N,0,individual6xindividual1,4,-0.22724805113597632,3.8194400900743766,3.8261944904058995,93.36278124809198,103.48855263321786,1.8609192887342048,2.979046203981192,-1.1181269152469875,0.5714647782563135
5,2022,06,10,08,N,N,0,individual6xindividual1,5,0.5913462101811767,3.882866219925497,3.9276380207618624,81.45628717980873,80.36597976588767,1.3469701799561289,2.910766170704936,-1.5637959907488075,0.6107067627112727
6,2022,06,10,08,N,N,0,individual6xindividual1,6,1.818977882337401,3.950268173529856,4.34894230580673,65.3617892261411,138.70939399066967,1.5550880529898685,2.3832177243177672,-0.8281296713278987,0.4873986011530479
7,2022,06,10,08,N,N,0,individual6xindividual1,7,2.8565717270109676,4.022903163588467,4.933938781051961,54.71427971998124,135.3731998868597,1.6672269270975466,2.6542299034051346,-0.9870029763075882,0.40437242470004797
8,2022,06,10,08,N,N,0,individual6xindividual1,8,3.5683579269338437,4.137885404471841,5.463997979067405,49.345981917791974,86.85565720602344,1.4553773519641724,2.8924785863755207,-1.437101234411348,0.5059562778793307
0,2022,06,10,08,N,N,0,individual7xindividual1,0,-6.82404917645981,4.668643166006571,8.268245048028128,145.6124573852337,119.65723113004131,0.2221368927617568,1.5133097620587486,-1.291172869296992,0.3725148670968293
1,2022,06,10,08,N,N,0,individual7xindividual1,1,-6.421358989115337,4.501571445137401,7.842065846622863,144.98389037735532,170.54953426295472,1.0828284665331307,1.7914535262882798,-0.7086250597551489,0.37655328747033073
2,2022,06,10,08,N,N,0,individual7xindividual1,2,-5.838959880378417,3.9563459027583967,7.053093320447553,145.8775681706789,141.49802392436217,0.331638237780796,1.149622512476004,-0.8179842746952081,0.37655328747033073
3,2022,06,10,08,N,N,0,individual7xindividual1,3,-5.526626241541963,3.894837403642016,6.761165285252914,144.8218884874337,125.24466835275227,0.8011467593944818,1.6306397720618875,-0.8294930126674057,0.37655328747033073
0,2022,06,10,08,N,N,0,individual8xindividual1,0,-2.5080876325696244,2.8041799112012544,3.7621707227388526,131.7213286654036,148.95638569785112,0.5211301206449249,1.5133097620587486,-0.9921796414138235,0.5658774550752698
1,2022,06,10,08,N,N,0,individual8xindividual1,1,-1.9581371730765955,2.690836186301068,3.327897319643693,125.99694026080236,79.70906293704672,0.5992121353565153,1.7914535262882798,-1.1922413909317644,0.87666741735613
2,2022,06,10,08,N,N,0,individual8xindividual1,2,-1.4353958433643816,2.278304999616512,2.6927745725227985,122.167441923543,22.02238411875342,0.5140166700130018,1.149622512476004,-0.6356058424630021,0.8237161419865905
3,2022,06,10,08,N,N,0,individual8xindividual1,3,-1.0444497388554168,2.10177046393776,2.3469798337600376,116.31122567041086,3.7854113768368607,0.2326800711709287,1.6306397720618875,-1.3979597008909588,0.7670131525145115
4,2022,06,10,08,N,N,0,individual8xindividual1,4,-0.2680089163591662,2.0280970190343135,2.0457287938199147,97.36531590720755,2.3651134325270364,0.2519938001760478,2.979046203981192,-2.7270524038051445,0.8558074599361888
5,2022,06,10,08,N,N,0,individual8xindividual1,5,0.7885772147489432,2.1013814417971943,2.2444727638246933,69.92589113750292,5.421577094075929,1.1121334915811711,2.910766170704936,-1.7986326791237652,0.896079581855453
6,2022,06,10,08,N,N,0,individual8xindividual1,6,1.7390875398933905,2.614535117168858,3.140098621113932,56.48573947191803,45.653165492481875,1.266625639175468,2.3832177243177672,-1.1165920851422995,0.8761283699030374
7,2022,06,10,08,N,N,0,individual8xindividual1,7,2.231419030931492,2.9530729278739223,3.7013336257280427,52.936446876267006,27.30169104925361,2.090332262461566,2.6542299034051346,-0.5638976409435693,0.7911871072582618
8,2022,06,10,08,N,N,0,individual8xindividual1,8,2.5497581995830636,3.0106049873928358,3.9452514832968104,49.76610923642294,3.909502095016299,1.4219152758856943,2.8924785863755207,-1.4705633104898264,0.8255002487102739
9,2022,06,10,08,N,N,0,individual8xindividual1,9,3.099744061796939,2.9611443404381568,4.286815724235684,43.73219713500716,2.5679430093894093,0.5281259432569796,2.448794397298625,-1.9206684540416454,0.8458356731851616
10,2022,06,10,08,N,N,0,individual8xindividual1,10,3.7324560127435142,2.9690274711132436,4.769313578628513,38.54492040919678,8.932234549984504,0.13744385155227007,2.1423642814768473,-2.004920429924577,0.8346310894518558
