,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
13,1995,09,07,04,S,S,0,individual8,13,1078.7901578947367,443.87378947368427,,,2.2775119617224875,2.2775119617224875
0,1995,09,07,02,S,S,0,individual1,0,1331.4099280526314,428.2314072526316,156.39491555169315,1.512452355505633,1.5789473684210524,1.5789473684210524
1,1995,09,07,02,S,S,0,individual1,1,1277.068964105263,490.65080983157895,102.47132783515477,1.9050892753262447,1.5789473684210524,1.5789473684210524
2,1995,09,07,02,S,S,0,individual1,2,1245.2802562105262,579.5915351947368,121.1606818041681,1.6681227355590247,1.4523149980213688,1.4523149980213688
3,1995,09,07,02,S,S,0,individual1,3,1232.9426901578947,658.0779432999999,51.98724147266391,2.3510163234293606,1.4285714285714284,1.4285714285714284
4,1995,09,07,02,S,S,0,individual1,4,1357.1627396842107,673.5418627578946,9.842748584354439,2.057942605159102,1.6746411483253585,1.6746411483253585
5,1995,09,07,02,S,S,0,individual1,5,1469.5775984736842,678.1487738210526,-15.122868946496636,2.124411258453675,1.8181818181818183,1.8181818181818183
6,1995,09,07,02,S,S,0,individual1,6,1575.866280736842,603.7321652526316,-45.14567796011854,2.4493832194005436,3.480861244019139,3.480861244019139
7,1995,09,07,02,S,S,0,individual1,7,1656.9210396842107,498.8332535210527,-56.49776847124008,2.120475779900743,2.5,2.5
8,1995,09,07,02,S,S,0,individual1,8,1724.8627037894737,403.9590818578947,-44.19983564355115,1.9260212252732556,4.016620498614959,4.016620498614959
9,1995,09,07,02,S,S,0,individual1,9,1770.082103263158,308.4924385105263,-85.86046727495892,1.9203966757713733,2.9325320437579228,2.9325320437579228
10,1995,09,07,02,S,S,0,individual1,10,1783.9731564210524,216.62116566315785,-87.35904658571457,1.0824486517779688,1.016949152542373,1.016949152542373
11,1995,09,07,02,S,S,0,individual1,11,1774.5403604736841,167.35228331578944,-123.07713263481953,1.246155225566127,1.016949152542373,1.016949152542373
